x_km,y_km,src
0.706,30.147,map1_tophat
0.765,30.148,map1_tophat
1.949,30.16,map1_tophat
2.008,30.161,map1_tophat
0.706,30.047,map1_tophat
0.766,30.048,map1_tophat
1.89,30.06,map1_tophat
1.95,30.06,map1_tophat
1.832,29.959,map1_tophat
1.891,29.96,map1_tophat
1.654,29.857,map1_tophat
1.714,29.858,map1_tophat
1.773,29.859,map1_tophat
1.832,29.859,map1_tophat
1.655,29.757,map1_tophat
1.714,29.758,map1_tophat
1.832,29.759,map1_tophat
1.655,29.657,map1_tophat
1.833,29.659,map1_tophat
1.892,29.66,map1_tophat
1.655,29.557,map1_tophat
1.715,29.558,map1_tophat
1.892,29.56,map1_tophat
1.656,29.457,map1_tophat
1.715,29.458,map1_tophat
1.479,29.355,map1_tophat
1.538,29.356,map1_tophat
1.597,29.357,map1_tophat
1.656,29.357,map1_tophat
1.715,29.358,map1_tophat
1.479,29.255,map1_tophat
1.538,29.256,map1_tophat
1.597,29.257,map1_tophat
1.716,29.258,map1_tophat
1.775,29.259,map1_tophat
6.274,29.307,map1_tophat
6.333,29.307,map1_tophat
6.393,29.308,map1_tophat
6.452,29.309,map1_tophat
6.215,29.206,map1_tophat
6.275,29.207,map1_tophat
6.334,29.207,map1_tophat
6.393,29.208,map1_tophat
6.452,29.209,map1_tophat
6.511,29.209,map1_tophat
2.131,29.062,map1_tophat
2.19,29.063,map1_tophat
6.216,29.106,map1_tophat
6.275,29.107,map1_tophat
6.453,29.109,map1_tophat
6.512,29.109,map1_tophat
2.191,28.963,map1_tophat
2.25,28.964,map1_tophat
6.157,29.005,map1_tophat
6.216,29.006,map1_tophat
6.571,29.01,map1_tophat
6.631,29.01,map1_tophat
6.69,29.011,map1_tophat
2.25,28.864,map1_tophat
3.612,28.878,map1_tophat
3.671,28.879,map1_tophat
3.73,28.88,map1_tophat
3.789,28.88,map1_tophat
3.849,28.881,map1_tophat
3.908,28.881,map1_tophat
3.967,28.882,map1_tophat
4.026,28.883,map1_tophat
4.085,28.883,map1_tophat
4.145,28.884,map1_tophat
4.204,28.885,map1_tophat
4.263,28.885,map1_tophat
4.322,28.886,map1_tophat
4.381,28.886,map1_tophat
4.441,28.887,map1_tophat
4.5,28.888,map1_tophat
4.559,28.888,map1_tophat
4.618,28.889,map1_tophat
6.098,28.905,map1_tophat
6.157,28.905,map1_tophat
6.631,28.911,map1_tophat
6.69,28.911,map1_tophat
2.25,28.764,map1_tophat
3.73,28.78,map1_tophat
3.79,28.78,map1_tophat
3.849,28.781,map1_tophat
3.908,28.781,map1_tophat
3.967,28.782,map1_tophat
4.027,28.783,map1_tophat
4.086,28.783,map1_tophat
4.145,28.784,map1_tophat
4.204,28.785,map1_tophat
4.263,28.785,map1_tophat
4.323,28.786,map1_tophat
4.382,28.786,map1_tophat
4.441,28.787,map1_tophat
4.5,28.788,map1_tophat
4.559,28.788,map1_tophat
4.619,28.789,map1_tophat
4.678,28.79,map1_tophat
4.737,28.79,map1_tophat
4.796,28.791,map1_tophat
4.855,28.792,map1_tophat
4.915,28.792,map1_tophat
5.151,28.795,map1_tophat
6.039,28.804,map1_tophat
6.099,28.805,map1_tophat
6.691,28.811,map1_tophat
6.75,28.812,map1_tophat
6.809,28.812,map1_tophat
2.251,28.664,map1_tophat
2.31,28.664,map1_tophat
4.974,28.693,map1_tophat
5.033,28.693,map1_tophat
5.093,28.694,map1_tophat
5.152,28.695,map1_tophat
5.211,28.695,map1_tophat
5.27,28.696,map1_tophat
5.329,28.697,map1_tophat
5.389,28.697,map1_tophat
5.448,28.698,map1_tophat
5.507,28.699,map1_tophat
5.566,28.699,map1_tophat
5.625,28.7,map1_tophat
5.685,28.7,map1_tophat
5.744,28.701,map1_tophat
5.803,28.702,map1_tophat
5.921,28.703,map1_tophat
5.981,28.704,map1_tophat
6.04,28.704,map1_tophat
6.809,28.712,map1_tophat
6.869,28.713,map1_tophat
6.928,28.714,map1_tophat
6.987,28.714,map1_tophat
